property_name,link,society,price,bedRoom,bathroom,balcony,additionalRoom,facing,description,furnishDetails,rating,property_id,area_type,area_sqft,area_sqm,floor,total_floors,floor_category,is_high_rise,construction_status,age_0_to_1,age_1_to_5,age_5_to_10,age_10_plus,expected_possession_date,sector_number,loc_gurgaon,loc_gurugram,loc_delhi,loc_dwarka,loc_manesar,has_hospital,has_bank,has_gurgaon,has_school,has_sector,has_station,has_clinic,has_international,has_park,has_airport,has_road,has_mall,has_atm,has_gandhi,has_indira,has_centre,has_metro,has_university,has_gurugram,has_dwarka,has_dr,has_expressway,has_golf,has_hdfc,has_railway,has_sohna,has_dental,has_public,has_course,has_delhi,has_institute,has_rd,has_manesar,has_india,has_trampoline,has_skyjumper,has_icici,has_petrol,has_inn,has_pump,has_care,has_hotel,has_huda,has_technology,has_dpg,has_mandir,has_business,has_imt,has_intl,has_state,has_maternity,has_water,has_security,has_lift,has_maintenance,has_facility,has_parking,has_fire_safety,has_storage,has_gym_fitness,has_club_house,has_feng_shui,has_swimming_pool,has_shopping,has_rain_harvesting,has_waste_disposal,has_internet,has_natural_light,has_water_treatment,has_drainage,has_large_rooms,has_piped_gas,has_high_ceiling,has_separate_servant_entry
2 BHK Flat in Krishna Colony,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-krishna-colony-gurgaon-900-sq-ft-spid-C68850746,maa bhagwati residency,45.0,2.0,2.0,1.0,,West,"So with lift.Maa bhagwati residency is one of gurgaon's most sought after destination for apartments and this 2 bhk flat in krishna colony is your opportunity to be a part of this community. The flat occupies a carpet area of 900 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 1 balcony. This flat is situated on the top floor of this 4 floors tall residential building. This 1-5 years old property is available for immediate possession as the project is ready to move.","['3 Fan', '4 Light', '1 Wardrobe', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5']",C68850746,Carpet area,900.0,83.61,4.0,4.0,high,0,ready,0,1,0,0,,,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2 BHK Flat in Ashok Vihar,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-apna-enclave-ashok-vihar-gurgaon-650-sq-ft-spid-H68850564,Apna Enclave,50.0,2.0,2.0,1.0,,West,"Property situated on main road, railway station just 500mtrs, rajeev chowk just 2km, extraordinary security and very good connectivity for entire ncr","['3 Wardrobe', '4 Fan', '1 Exhaust Fan', '1 Geyser', '3 Light', '1 Curtains', '1 Chimney', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5']",H68850564,Carpet area,650.0,60.39,1.0,3.0,mid,0,ready,0,0,0,1,,,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 BHK Flat in Sohna,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-tulsiani-easy-in-homes-sohna-gurgaon-595-sq-ft-spid-J68850120,Tulsiani Easy in Homes,40.0,2.0,2.0,3.0,,,"This property is 15 km away from badshapur, gurugram.It's under tunsiani construction call easy in homes right on sohna highway, hardly away from toll plaza...",,"['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5']",J68850120,Carpet area,595.0,55.28,12.0,14.0,high,0,ready,1,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2 BHK Flat in Sector 61 Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-smart-world-orchard-sector-61-gurgaon-1200-sq-ft-spid-S68849476,Smart World Orchard,147.0,2.0,2.0,2.0,Study Room,,"Near to metro station of sector 56 and opposite leading 5 star hotel - Hyatt. Posh locality
Prices negotiable",,,S68849476,Carpet area,1200.0,111.48,2.0,4.0,mid,0,future_possession,0,0,0,0,2023-12-01,61.0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0
2 BHK Flat in Sector 92 Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-parkwood-westend-sector-92-gurgaon-1345-sq-ft-r4-spid-L47956793,Parkwood Westend,70.0,2.0,2.0,3.0,Study Room,,"We are the proud owners of this 2 bhk alongwith 1 study room apartment available in parkwood westend, sector-92, gurgaon. This apartmentit is a resale and the unit is located on the 5th floor and has a super built-Up area of 1345. 0 sq. Ft. It has 2 bathroom(s) and 3 balcony(s). The ownership is freehold type. The apartment has 1 covered parking and 1 open parking.",[],"['Environment5 out of 5', 'Safety3 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5']",L47956793,Super Built up area ,1345.0,124.95,5.0,8.0,mid,0,under_construction,0,0,0,0,,92.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 BHK Flat in Sector 36 Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sector-36-gurgaon-654-sq-ft-spid-S68847140,Signature Global Infinity Mall,41.0,2.0,2.0,3.0,,,Best in class property available at sector 36 sohna location in gurgaon,,,S68847140,Built Up area,654.0,60.76,3.0,3.0,high,0,future_possession,0,0,0,0,,36.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 BHK Flat in Dwarka Expressway Gurgaon,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dwarka-expressway-gurgaon-1500-sq-ft-spid-O68844702,The Cocoon,200.0,3.0,3.0,3.0,,,Residential apartment for sell.The property comes with a good construction quality which ages 0-1 years old propertylocated in dwarka expressway gurgaon.The property has 3 bedrooms with 3 bathrooms .Available at an expected price of rs 20000000.Located on 5th floor out of the 25,[],,O68844702,Super Built up area ,1500.0,139.35,5.0,25.0,low,1,ready,1,0,0,0,,,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 BHK Flat in Sector 104 Gurgaon,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ats-triumph-sector-104-gurgaon-2290-sq-ft-spid-K68839960,ATS Triumph3.9 ★,180.0,3.0,4.0,3.0,,,"Ats triumph is one of gurgaon's most sought after destination for apartments and this 3 bhk flat in sector 104 gurgaon is your opportunity to be a part of this community. The floor plan additionally contains 3 bedroom(s), 4 bathrooms and 3 balconies. All in all, the flat is spread over a carpet area of 2290 sq.Ft. The residential building has 27 floors in total and the flat for sale is located on the 14th floor. Being a ready to move project, you can expect immediate possession of this 0-1 year old property. Many of the modern amenities being offered, like swimming pool, water softening plant, security personnel, maintenance staff, club house / community center, cctv surveillance, fitness centre / gym, park and lift(s), will provide a pleasant living experience for you.",[],"['Green Area4 out of 5', 'Amenities4.5 out of 5', 'Management5 out of 5', 'Construction5 out of 5', 'Connectivity5 out of 5']",K68839960,Carpet area,2290.0,212.75,14.0,27.0,mid,1,ready,1,0,0,0,,104.0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0
2 BHK Flat in Sector 88B Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-vatika-xpressions-sector-88b-gurgaon-1350-sq-ft-r2-spid-S50764468,Vatika Xpressions,110.00000000000001,2.0,4.0,3.0,Study Room,North-East,"We are the proud owners of this 2 bhk apartment available in vatika xpressions, sector-88b, gurgaon. This unfurnished apartment, priced approximately at rs. 10000 per sq. Meter or rs. 90 lakhs. It will be ready for possession by 2020. It is a resale and an under construction apartment. The unit is located on the 2nd floor and has a super built-Up area of 900 sq. Meter. It is a feng shui/vaastu compliant and has ceramic flooring. It has 4 bathroom(s) and more than 3 balcony(s). The ownership is leasehold type. The property offers the best in class facilities such as club house/community center, fitness centre/gym, intercom facility, lift(s), swimming pool, security personnel, park and rain water harvestin. It is positioned in a gated society. It offers an excellent view of the park/garden, main road, club and pool. The apartment has 1 covered parking.",,,S50764468,Built Up area,1350.0,125.42,2.0,3.0,high,0,under_construction,0,0,0,0,,88.0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
3 BHK Flat in Sector 78 Gurgaon,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-raheja-revanta-sector-78-gurgaon-2813-sq-ft-spid-E68833932,Raheja Revanta,475.0,3.0,3.0,2.0,Servant Room,,"This 3 bhk flat is located in raheja revanta, which houses some of the most spacious flats in sector 78 gurgaon. The flat is over 2813 sq.Ft. Built up area and comes with 3 bedroom(s), 3 bathrooms and 2 balconies. This flat lies on the 31st level of a 40 storey building. Moreover, the flat is currently under construction and possession is expected by december 2023. It is facing the aravallis forest.",,"['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5']",E68833932,Built Up area,2813.0,261.34,31.0,40.0,high,1,future_possession,0,0,0,0,2023-12-01,78.0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1
2 BHK Flat in Sector 81 Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-global-city-81-sector-81-gurgaon-1075-sq-ft-spid-F68828122,Signature Global City 81,96.0,2.0,2.0,2.0,,,"Signature global city 81 is one of gurgaon's most sought after destination for apartments and this 2 bhk flat in sector 81 gurgaon is your opportunity to be a part of this community. Constructed on a carpet area of 1075 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 2 balconies. This flat is situated on the 1st floor of this 4 floors tall residential building. As the property is currently under construction , you can expect to get the possession by june 2024.",,"['Environment4.5 out of 5', 'Safety4.5 out of 5', 'Lifestyle4 out of 5', 'Connectivity3.5 out of 5']",F68828122,Carpet area,1075.0,99.87,1.0,4.0,low,0,future_possession,0,0,0,0,2024-06-01,81.0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2 BHK Flat in Sohna,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-hcbs-sports-ville-sohna-gurgaon-519-sq-ft-spid-S68825922,HCBS Sports Ville3.6 ★,29.0,2.0,2.0,1.0,,,Affordable housing in gurgaon and surrounded by green and clean air. Selling off due to relocation.,,"['Green Area4 out of 5', 'Amenities4 out of 5', 'Management4 out of 5', 'Construction4 out of 5', 'Connectivity2 out of 5']",S68825922,Carpet area,519.0,48.22,4.0,13.0,low,0,ready,0,1,0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 BHK Flat in Sector 79 Gurgaon,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-supertech-araville-sector-79-gurgaon-1945-sq-ft-spid-H68825634,Supertech Araville,135.0,3.0,3.0,3.0,,,"Well spacious, nicely built with wooden flooring in master bed room. The location of the house is convenient for school goers and the connectivity is great too.","['1 Water Purifier', '2 Fan', '1 Geyser', '3 Light', '2 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle3 out of 5', 'Connectivity4 out of 5']",H68825634,Carpet area,1945.0,180.7,4.0,15.0,low,1,ready,0,1,0,0,,79.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 BHK Flat in Sector 33 Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sector-33-gurgaon-1385-sq-ft-r3-spid-F54915126,Godrej,95.0,2.0,2.0,3.0,,South-East,"Its an godrej project nature plus.
On 3rd floor. 1st flat
 Balcony east facing & flat is north facing.
With 4 balconies.
On sec - 33 , sohan road
Front facing flat..
If need more details you can contact me.",,"['Environment3 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5']",F54915126,Super Built up area ,1385.0,128.67,3.0,20.0,low,1,under_construction,0,0,0,0,,33.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 BHK Flat in Sector 90 Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shree-vardhman-flora-sector-90-gurgaon-1300-sq-ft-spid-K68824240,Shree Vardhman Flora3.8 ★,70.0,2.0,2.0,3.0,Study Room,,"This 2 bhk apartment is available for sale in shree vardhman flora, one of the most prominent projects for flats in sector 90 gurgaon. Constructed on a super built up area of 1300 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 3 balconies. This flat lies on the top level of a 13 storey building. Being a ready to move project, you can expect immediate possession of this 0-1 year old property.",,"['Green Area5 out of 5', 'Amenities5 out of 5', 'Management4 out of 5', 'Construction5 out of 5', 'Connectivity5 out of 5']",K68824240,Super Built up area ,1300.0,120.77,13.0,13.0,high,0,ready,1,0,0,0,,90.0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 BHK Flat in Sector 108 Gurgaon,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-2343-sq-ft-spid-R68822708,Sobha City,395.0,4.0,5.0,3.0,,,This is sale property................................. Sobha city sector 108,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Environment4 out of 5', 'Safety4.5 out of 5', 'Lifestyle4.5 out of 5', 'Connectivity4.5 out of 5']",R68822708,Built Up area,2343.0,217.67,25.0,25.0,high,1,future_possession,0,0,0,0,,108.0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 BHK Flat in Sector 62 Gurgaon,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-sector-62-gurgaon-639-sq-ft-r1-spid-S64125662,Senate Court,90.0,1.0,1.0,,,,"Looking for a 1 bhk apartment for sale in gurgaon? Your search ends here. Buy this 1 bhk property in gurgaons finest location, sector 62. This is an owner listed property and there is no brokerage involved. It is on floor 3 out of 7 floors. This apartment is available at a reasonable price of rs 90.0 l. The built up area of this property is 639 square feet. There are 1 bedroom and 1 bathroom. There are a number of reputed schools in the vicinity such as kunskapsskolan eduventures pvt ltd, c r oasis convent senior secondry school, and pardeep mor mamoril school. Medical facility is also close at hand with names like park hospital, artemis hospital gurgaon, and w pratiksha hospital senate court senate court, sector 62, gurgaon",,"['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle5 out of 5', 'Connectivity4 out of 5']",S64125662,Built Up area,639.0,59.37,,1.0,unknown,0,future_possession,0,0,0,0,,62.0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 BHK Flat in Sector 102 Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-joyville-gurugram-sector-102-gurgaon-915-sq-ft-spid-O68818592,Shapoorji Pallonji Joyville Gurugram4.0 ★,105.0,2.0,2.0,2.0,,,New upcoming available in next 6-9 months,[],"['Green Area4 out of 5', 'Amenities5 out of 5', 'Management4 out of 5', 'Construction5 out of 5', 'Connectivity4 out of 5']",O68818592,Carpet area,915.0,85.01,,14.0,unknown,0,future_possession,0,0,0,0,2024-03-01,102.0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2 BHK Flat in Sector 93 Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-global-orchard-avenue-2-sector-93-gurgaon-577-sq-ft-spid-H68815396,Signature Global Orchard Avenue 2,,2.0,2.0,3.0,,East,"Looking for a budget-Friendly 2 bhk flat in a prime location with modern amenities? Look no further than signature global orchard avenue 2 sector 93 in new gurgaon!Our ready-To-Move flats are the perfect choice for those looking for a comfortable and convenient living experience. Located in one of the top sectors of new gurgaon, our society is just a stone's throw away from the nearest metro station, ensuring that you can easily get around the city without any hassle.Our flats are designed to offer you the best of both worlds - Comfort and luxury. With spacious bedrooms, modern kitchens, and well-Appointed bathrooms, our flats are the perfect place to call home. You'll also have access to a range of amenities, including a gym, swimming pool, and landscaped gardens, ensuring that you can relax and unwind after a long day.So why wait? Come and visit signature global orchard avenue 2 today and experience the best in modern living. Our friendly team is always on hand to help you find your dream home, and we'll make sure that you're completely satisfied with your purchase. Contact us today to learn more!",,,H68815396,Carpet area,577.0,53.62,11.0,14.0,high,0,under_construction,0,0,0,0,,93.0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
3 BHK Flat in Sector-33 Sohna,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-central-park-flower-valley-sector-33-sohna-gurgaon-2100-sq-ft-spid-I68814518,Central Park Flower Valley,220.00000000000003,3.0,3.0,3.0,Servant Room,North-East,"This beautiful 3 bhk flat in sector-33 sohna, gurgaon is situated in central park flower valley, one of the popular residential society in gurgaon. The flat is over 2100 sq.Ft. Super built up area and comes with 3 bedroom(s), 3 bathrooms and 3 balconies. The flat has a total of 13 floors and this property is situated on 12th floor. As the project is already ready to move, so you can easily move into this 0-1 year old property.","['1 Wardrobe', '1 Fan', '1 Exhaust Fan', '1 Geyser', '1 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,I68814518,Super Built up area ,2100.0,195.1,12.0,13.0,high,0,ready,1,0,0,0,,,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2 BHK Flat in Sector 89 Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-smart-world-gems-sector-89-gurgaon-1103-sq-ft-spid-P68810298,Smart World Gems,101.0,2.0,2.0,2.0,Study Room,,Possession soon . Luxurious flat with terrace and basement,,"['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5']",P68810298,Carpet area,1103.0,102.47,4.0,4.0,high,0,future_possession,0,0,0,0,2025-12-01,89.0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
3 BHK Flat in Sector 79 Gurgaon,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bestech-altura-sector-79-gurgaon-2150-sq-ft-spid-B68809960,Bestech Altura,185.0,3.0,4.0,3.0,Servant Room,North,"This lovely 3 bhk apartment/flat in sector 79 gurgaon is available for sale in one of gurgaon's most popular projects, bestech altura. The flat occupies a super built up area of 2150 sq.Ft. That consists of 3 bedrooms, 4 bathrooms and more than 3 balconies. The residential building has 20 floors in total and the flat for sale is located on the 11th floor. Being a ready to move project, you can expect immediate possession of this 0-1 year old property.","['5 AC', '1 Chimney', '1 Modular Kitchen', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle3 out of 5', 'Connectivity4 out of 5']",B68809960,Super Built up area ,2150.0,199.74,11.0,22.0,mid,1,ready,1,0,0,0,,79.0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2 BHK Flat in Sector 89 Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-smart-world-gems-sector-89-gurgaon-1103-sq-ft-spid-K68809718,Smart World Gems,86.0,2.0,3.0,3.0,,,"We are the proud owners of this 2 bhk apartment available in smart world gems, sector 89 gurgaon, gurgaon. This it is a and the unit is located on 4th floor and has a super built-Up area of 1103 sq.Ft. . It has 3 bathroom(s) and 3 balcony(s). The ownership is freehold type.",[],"['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5']",K68809718,Super Built up area ,1103.0,102.47,4.0,4.0,high,0,future_possession,0,0,0,0,,89.0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 BHK Flat in Sector 102 Gurgaon,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-imperial-gardens-sector-102-gurgaon-2025-sq-ft-spid-Z68808868,Emaar Imperial Gardens3.8 ★,185.0,3.0,3.0,3.0,Servant Room,South-West,"Private garden area well maintained
No hassle to wait for lift during rush hours as it's a ground floor. 
Complete sun light 
Able to do bonfire inside the house due to extended balcony area","['5 Wardrobe', '8 Fan', '1 Exhaust Fan', '20 Light', '5 AC', '1 Modular Kitchen', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Green Area5 out of 5', 'Amenities5 out of 5', 'Management4.5 out of 5', 'Construction4 out of 5', 'Connectivity3.5 out of 5']",Z68808868,Carpet area,2025.0,188.13,,14.0,unknown,0,ready,0,1,0,0,,102.0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
