property_name,link,society,price,bedRoom,bathroom,balcony,additionalRoom,facing,description,furnishDetails,rating,property_id,area_type,area_sqft,area_sqm,floor,total_floors,floor_category,is_high_rise,construction_status,age_0_to_1,age_1_to_5,age_5_to_10,age_10_plus,expected_possession_date,sector_number,loc_gurgaon,loc_gurugram,loc_delhi,loc_dwarka,loc_manesar,has_hospital,has_bank,has_gurgaon,has_school,has_sector,has_station,has_clinic,has_international,has_park,has_airport,has_road,has_mall,has_atm,has_gandhi,has_indira,has_centre,has_metro,has_university,has_gurugram,has_dwarka,has_dr,has_expressway,has_golf,has_hdfc,has_railway,has_sohna,has_dental,has_public,has_course,has_delhi,has_institute,has_rd,has_manesar,has_india,has_trampoline,has_skyjumper,has_icici,has_petrol,has_inn,has_pump,has_care,has_hotel,has_huda,has_technology,has_dpg,has_mandir,has_business,has_imt,has_intl,has_state,has_maternity,has_water,has_security,has_lift,has_maintenance,has_facility,has_parking,has_fire_safety,has_storage,has_gym_fitness,has_club_house,has_feng_shui,has_swimming_pool,has_shopping,has_rain_harvesting,has_waste_disposal,has_internet,has_natural_light,has_water_treatment,has_drainage,has_large_rooms,has_piped_gas,has_high_ceiling,has_separate_servant_entry
3 BHK Flat in Sector 79 Gurgaon,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-supertech-araville-sector-79-gurgaon-1950-sq-ft-r1-spid-N64363220,Supertech Araville,110.00000000000001,3.0,3.0,3.0,,,"Semi furnished, fully ventilated, sun facing beautiful 3 beds and 3 baths is up for sale in gurgaon sector 79, supertech, aravallies.
Pls contact for more details","['3 Fan', '1 Exhaust Fan', '2 Geyser', '3 Light', '3 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle3 out of 5', 'Connectivity4 out of 5']",N64363220,Carpet area,1950.0,181.16,1.0,1.0,high,0,ready,0,1,0,0,,79.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
2 BHK Flat in Sector 61 Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-smart-world-orchard-sector-61-gurgaon-1200-sq-ft-spid-Y68609816,Smart World Orchard,165.0,2.0,2.0,2.0,Study Room,,"Its a first floor property and in the outer lane, east facing",[],,Y68609816,Carpet area,1200.0,111.48,1.0,4.0,low,0,future_possession,0,0,0,0,,61.0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
1 BHK Flat in Sohna,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-hcbs-sports-ville-sohna-gurgaon-324-sq-ft-spid-D68607336,HCBS Sports Ville3.6 ★,24.0,1.0,1.0,2.0,,North,"This 1 bhk flat is located in hcbs sports ville, which houses some of the most spacious flats in sohna, gurgaon. 1 bedroom(s), 1 bathroom and 1 balcony. The flat has a total of 13 floors and this property is situated on 1st floor. Arpox 150+ sf tarace available with this flat. Corner property. Ready to move. Already rented.",,"['Green Area4 out of 5', 'Amenities4 out of 5', 'Management4 out of 5', 'Construction4 out of 5', 'Connectivity2 out of 5']",D68607336,Carpet area,324.0,30.1,1.0,13.0,low,0,ready,1,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
3 BHK Flat in Sector 77 Gurgaon,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-palm-premier-sector-77-gurgaon-2000-sq-ft-spid-T68605618,Emaar Palm Premier,210.0,3.0,4.0,3.0,Servant Room,,"1. High quality interior. Mirror panellings, high end modern wardrobes with lightings. 
2. Great connectivity - Nh, dwarka expressway, spr & golf course extn road.
3. Life time club membership
4. Good natural lighting with 4 open balconies all facing nh / hyatt regency hotel . Great view & privacy.
5. Comes with a servant room & attached washroom
6. Sleek / modern mandir designed on north east
7. Ample storage covered in all rooms
8. Tower comes with lavish lobby & security
9. Amenities in society include pool, gym, spa, restaurant, table tennis, board games, meeting rooms, party terrace, tennis court, basket ball court, badminton court, yoga terrace, jogging track, open air gym, kids school, atm, apollo hospital dispensary with on-Call doctor & nurse, creche, kids play area, high security, dedicated facility management team, visitors parking facility, grocery shops, salons, medical stores, restaurant outlets etc","['3 Wardrobe', '1 Exhaust Fan', '1 Stove', '10 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Environment5 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5']",T68605618,Super Built up area ,2000.0,185.81,11.0,12.0,high,0,ready,1,0,0,0,,77.0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
3 BHK Flat in Sector-33 Sohna,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-godrej-nature-plus-sector-33-sohna-gurgaon-1929-sq-ft-spid-I68602138,Godrej Nature Plus,190.0,3.0,3.0,3.0,Servant Room,,"A project by godrej, the location is bang on newly built sohna elevated road. 
Just 15 mins from rajiv chowk. Milti speciality hospitals, reputed school, colleges, malls.The project is very low density project, just 8 towers and all across boundaries.",,,I68602138,Carpet area,1929.0,179.21,14.0,24.0,mid,1,future_possession,0,0,0,0,,,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1
2 BHK Flat in Sector 79 Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-godrej-aria-sector-79-gurgaon-957-sq-ft-spid-K68598604,Godrej Aria3.8 ★,110.00000000000001,2.0,2.0,3.0,,,"We are the proud owners of this 2 bhk apartment available in godrej aria, sector 79 gurgaon, gurgaon. This it is a and the unit is located on 9th floor and has a super built-Up area of 89 sq.M. . It has 2 bathroom(s) and 3 balcony(s). The ownership is freehold type.",[],"['Green Area4 out of 5', 'Amenities5 out of 5', 'Management4 out of 5', 'Construction5 out of 5', 'Connectivity4 out of 5']",K68598604,Super Built up area ,89.0,,9.0,30.0,low,1,ready,1,0,0,0,,79.0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 BHK Flat in Sector 95 Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ramsons-kshitij-sector-95-gurgaon-700-sq-ft-r5-spid-F54906058,Ramsons Kshitij3.7 ★,31.5,2.0,2.0,1.0,Others,,"Fully furnished 2bhk apartment, on main pataudi road, easy connectivity and surrounded with all facilities. Low maintainance and good infrastructure. All required furnishing done. Can be utilized as service apartment aswell. Easy loan.","['1 Water Purifier', '3 Fan', '1 Fridge', '1 Dining Table', '1 Geyser', '1 Stove', '10 Light', '1 AC', '1 Chimney', '1 Curtains', '1 Modular Kitchen', '1 TV', '2 Wardrobe', '1 Washing Machine', 'No Bed', 'No Exhaust Fan', 'No Microwave', 'No Sofa']","['Green Area4 out of 5', 'Amenities4 out of 5', 'Management3.5 out of 5', 'Construction4 out of 5', 'Connectivity5 out of 5']",F54906058,Super Built up area ,700.0,65.03,8.0,14.0,mid,0,ready,0,1,0,0,,95.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1 BHK Flat in Sector 109 Gurgaon,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-sector-109-gurgaon-965-sq-ft-spid-C68597238,Conscient One,170.0,1.0,1.0,2.0,,,Best in class property available at sector 109 location in gurgaon,"['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Environment5 out of 5', 'Safety4.5 out of 5', 'Lifestyle4 out of 5', 'Connectivity3.5 out of 5']",C68597238,Built Up area,965.0,89.65,9.0,9.0,high,0,future_possession,0,0,0,0,,109.0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 BHK Flat in Sector 99A Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pareena-laxmi-apartments-sector-99-a-gurgaon-524-sq-ft-spid-I68596870,Pareena Laxmi Apartments3.6 ★,32.0,2.0,2.0,2.0,,,"This lovely 2 bhk apartment/flat in sector 99a gurgaon is available for sale in one of gurgaon's most popular projects, pareena laxmi apartments. The flat is over 524 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms and 2 balconies. This flat is situated on the 2nd floor of this 12 floors tall residential building. As the project is already ready to move, so you can easily move even on the same day. The flat is completely new and in the exactly same situation handovered by the builder, so you can design your interior as per your requirements. The society is well equipped with many modern amenities, including security personnel, maintenance staff, community center, park and lift(s).",[],"['Green Area4.5 out of 5', 'Amenities3.5 out of 5', 'Management4 out of 5', 'Construction4 out of 5', 'Connectivity3 out of 5']",I68596870,Super Built up area ,524.0,48.68,2.0,12.0,low,0,ready,1,0,0,0,,99.0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
2 BHK Flat in Sector 86 Gurgaon,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pyramid-elite-sector-86-gurgaon-581-sq-ft-spid-I68593654,Pyramid Elite,45.0,2.0,2.0,1.0,,,"This lovely 2 bhk apartment/flat in sector 86 gurgaon is available for sale in one of gurgaon's most popular projects, pyramid elite. Containing 2 bedroom(s), 2 bathrooms and 1 balcony, this flat is spread over a carpet area of 581 sq.Ft. The flat has a total of 14 floors and this property is situated on 4th floor. This residential property is still under construction and will be available for possession by november 2023. The beautifully designed marble flooring enhances the beauty of the flat. Another plus point for this is that it is situated near close to metro station, close to school, close to hospital and close to market. Pyramid elite is designed very well to provide modern facilities such as shopping centre, cctv surveillance, club house / community center, fitness centre / gym, park, lift(s), maintenance staff and visitor parking. The society provides continuous water supply from borewell/tank.",,"['Environment5 out of 5', 'Safety4.5 out of 5', 'Lifestyle5 out of 5', 'Connectivity4.5 out of 5']",I68593654,Carpet area,581.0,54.01,4.0,14.0,low,0,future_possession,0,0,0,0,2023-11-01,86.0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0
1 BHK Flat in Sector 78 Gurgaon,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-raheja-revanta-sector-78-gurgaon-1198-sq-ft-r2-spid-P59185856,Raheja Revanta,120.0,1.0,2.0,2.0,,,Residential apartment for sell.Located on 32nd floor out of the 55 located in sector-78 gurgaon.It is a unfurnished property.The property has 1 bedroom with 2 bathrooms .Available at an expected price of rs 12000000.,,"['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5']",P59185856,Super Built up area ,1197.0,111.28,32.0,55.0,mid,1,under_construction,0,0,0,0,,78.0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
